level,method,point,state_error_percent,coefficient_error_percent,q_source
lhs8,podnn,verification,0.5421234034732375,1.005555171591668,euclidean_hprom_enrichment_lhs8/Runs/PODNN_ROM/rom_data_driven_mu1_4.875_mu2_0.0225_ntot151/qN.npy
lhs8,podnn,offgrid1,0.8084147107837734,1.66027178667975,euclidean_hprom_enrichment_lhs8/Runs/PODNN_ROM/rom_data_driven_mu1_4.560_mu2_0.0190_ntot151/qN.npy
lhs8,podnn,offgrid2,0.9125581860437486,1.875575244614304,euclidean_hprom_enrichment_lhs8/Runs/PODNN_ROM/rom_data_driven_mu1_5.190_mu2_0.0260_ntot151/qN.npy
lhs8,podnn,extrapolation20pct,10.836017506886488,25.405031862374642,euclidean_hprom_enrichment_lhs8/Runs/PODNN_ROM/rom_data_driven_mu1_4.000_mu2_0.0330_ntot151/qN.npy
lhs8,poddl,verification,0.41128534664005856,0.19738617940441527,euclidean_hprom_enrichment_lhs8/Runs/PODDL_ROM/pod_dl_data_driven_mu1_4.875_mu2_0.0225_ntot151_nz10/qN.npy
lhs8,poddl,offgrid1,0.46755589174522444,0.3521378767626622,euclidean_hprom_enrichment_lhs8/Runs/PODDL_ROM/pod_dl_data_driven_mu1_4.560_mu2_0.0190_ntot151_nz10/qN.npy
lhs8,poddl,offgrid2,0.49584920718076947,0.47016604129986006,euclidean_hprom_enrichment_lhs8/Runs/PODDL_ROM/pod_dl_data_driven_mu1_5.190_mu2_0.0260_ntot151_nz10/qN.npy
lhs8,poddl,extrapolation20pct,1.1185556482120542,1.6816663223016735,euclidean_hprom_enrichment_lhs8/Runs/PODDL_ROM/pod_dl_data_driven_mu1_4.000_mu2_0.0330_ntot151_nz10/qN.npy
lhs12,linear,verification,0.4103876436595169,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_4.875_mu2_0.0225_ntot151/qN.npy
lhs12,linear,offgrid1,0.449823818711427,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
lhs12,linear,offgrid2,0.4632381358945413,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_5.190_mu2_0.0260_ntot151/qN.npy
lhs12,linear,extrapolation20pct,0.849888467909238,0.0,euclidean_hprom_main/Runs/Linear/linear_hprom_mu1_4.000_mu2_0.0330_ntot151/qN.npy
lhs12,case1,verification,0.41122327864777664,0.12252024397264291,euclidean_hprom_enrichment_lhs12/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_4.875_mu2_0.0225_n10_ntot151_qN.npy
lhs12,case1,offgrid1,0.4562865116883279,0.16578559565232637,euclidean_hprom_enrichment_lhs12/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_4.560_mu2_0.0190_n10_ntot151_qN.npy
lhs12,case1,offgrid2,0.46936357064389117,0.2605463905259203,euclidean_hprom_enrichment_lhs12/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_5.190_mu2_0.0260_n10_ntot151_qN.npy
lhs12,case1,extrapolation20pct,0.8566139252850136,0.307570809625952,euclidean_hprom_enrichment_lhs12/Runs/HPROM_ANN_C1/case1_hprom_ann_mu1_4.000_mu2_0.0330_n10_ntot151_qN.npy
lhs12,case2,verification,0.4596224910801395,0.6366821923884456,euclidean_hprom_enrichment_lhs12/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_4.875_mu2_0.0225_n10_ntot151_qN.npy
lhs12,case2,offgrid1,0.5053341198841855,0.6678861786816684,euclidean_hprom_enrichment_lhs12/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_4.560_mu2_0.0190_n10_ntot151_qN.npy
lhs12,case2,offgrid2,0.7538511402032132,1.454682376517439,euclidean_hprom_enrichment_lhs12/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_5.190_mu2_0.0260_n10_ntot151_qN.npy
lhs12,case2,extrapolation20pct,1.471036155042309,2.8812279216910035,euclidean_hprom_enrichment_lhs12/Runs/HPROM_ANN_C2/case2_hprom_ann_mu1_4.000_mu2_0.0330_n10_ntot151_qN.npy
lhs12,b3,verification,0.4113065499700501,0.030785353280980074,euclidean_hprom_enrichment_lhs12/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p0_steps500/qN.npy
lhs12,b3,offgrid1,0.451375149833953,0.032046973492326304,euclidean_hprom_enrichment_lhs12/Stage4/case2_b3/reporting_positive_fit4096_hprom3_p1_steps500/qN.npy
