mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.56,0.019,ANN (n_s=131),151,20,131,95,75,36.815011465687604,31.435906399745146,117.11134076282293
4.56,0.019,ANN (n_s=131),151,20,131,96,76,49.48086946773828,31.33279306754335,157.92039146038965
4.56,0.019,ANN (n_s=131),151,20,131,97,77,34.42576998765743,27.849895084166995,123.61184802893172
4.56,0.019,ANN (n_s=131),151,20,131,98,78,49.38137114022611,29.92972158716103,164.99108084389687
4.56,0.019,ANN (n_s=131),151,20,131,99,79,35.483944768039436,30.1478135489837,117.69989458899126
4.56,0.019,ANN (n_s=131),151,20,131,100,80,52.62434787412817,31.354532392893162,167.83649398661112
4.56,0.019,ANN (n_s=131),151,20,131,101,81,50.403502026422245,28.62045780564059,176.11004816452865
4.56,0.019,ANN (n_s=131),151,20,131,102,82,44.387648876522796,31.566989205861393,140.61413518740284
4.56,0.019,ANN (n_s=131),151,20,131,103,83,27.234176819654373,21.8865575711995,124.4333501559505
4.56,0.019,ANN (n_s=131),151,20,131,104,84,38.36263353932257,26.850312991560486,142.87592681463568
4.56,0.019,ANN (n_s=131),151,20,131,105,85,45.092428410308436,30.590366094950664,147.40728590937502
4.56,0.019,ANN (n_s=131),151,20,131,106,86,32.775482401170386,26.069442821531823,125.72375491700102
4.56,0.019,ANN (n_s=131),151,20,131,107,87,45.87147983202496,27.767327930083976,165.19947453181618
4.56,0.019,ANN (n_s=131),151,20,131,108,88,38.39328798159335,24.541593105325816,156.44171027047773
4.56,0.019,ANN (n_s=131),151,20,131,109,89,40.3175251110072,21.741589152495667,185.43964209892744
4.56,0.019,ANN (n_s=131),151,20,131,110,90,39.28370138010594,24.253844611081668,161.96896619910345
4.56,0.019,ANN (n_s=131),151,20,131,111,91,46.733599967690324,27.905179589247386,167.47285147628304
4.56,0.019,ANN (n_s=131),151,20,131,112,92,33.65665816140331,23.33779491032172,144.2152452308929
4.56,0.019,ANN (n_s=131),151,20,131,113,93,34.6934610394197,23.73418426398097,146.17507243369027
4.56,0.019,ANN (n_s=131),151,20,131,114,94,38.127800770280714,20.160269186301157,189.12347061411484
4.56,0.019,ANN (n_s=131),151,20,131,115,95,42.963293762188364,22.305282781307806,192.61488044523836
4.56,0.019,ANN (n_s=131),151,20,131,116,96,39.52710115318031,25.443310360427954,155.35361001867474
4.56,0.019,ANN (n_s=131),151,20,131,117,97,41.749471144203945,21.68879617974885,192.49326148947836
4.56,0.019,ANN (n_s=131),151,20,131,118,98,34.4736416286725,21.155517058638157,162.9534344782007
4.56,0.019,ANN (n_s=131),151,20,131,119,99,38.00395338127017,19.279051296957512,197.1256406546711
4.56,0.019,ANN (n_s=131),151,20,131,120,100,28.319064212986333,21.559895638698613,131.35065534433966
4.56,0.019,ANN (n_s=131),151,20,131,121,101,40.1400159071433,21.383069251224597,187.71868264348674
4.56,0.019,ANN (n_s=131),151,20,131,122,102,38.705498447048384,21.37762836234466,181.05609186857077
4.56,0.019,ANN (n_s=131),151,20,131,123,103,36.89199206967295,15.722715118468155,234.64135673576519
4.56,0.019,ANN (n_s=131),151,20,131,124,104,30.710317940950887,18.69280617185489,164.2895007769906
4.56,0.019,ANN (n_s=131),151,20,131,125,105,42.10751056591688,21.903760762898887,192.23872567691475
4.56,0.019,ANN (n_s=131),151,20,131,126,106,36.629137225986305,18.909949214485394,193.70299100500844
4.56,0.019,ANN (n_s=131),151,20,131,127,107,31.751574437622722,17.615384112532222,180.24911767341763
4.56,0.019,ANN (n_s=131),151,20,131,128,108,25.563533043653244,19.60508863150677,130.39233601102333
4.56,0.019,ANN (n_s=131),151,20,131,129,109,25.7736717775554,17.859552316526198,144.31308982871835
4.56,0.019,ANN (n_s=131),151,20,131,130,110,30.04925888671596,19.466229585289682,154.36609722009908
4.56,0.019,ANN (n_s=131),151,20,131,131,111,31.503649940852508,17.57946171176351,179.20713647205395
4.56,0.019,ANN (n_s=131),151,20,131,132,112,41.508029859709566,15.257611947355771,272.0480112020619
4.56,0.019,ANN (n_s=131),151,20,131,133,113,27.946832221360616,16.75457928903099,166.80115769697096
4.56,0.019,ANN (n_s=131),151,20,131,134,114,34.20945393703014,16.78426546334784,203.81859433607062
4.56,0.019,ANN (n_s=131),151,20,131,135,115,36.99269184619301,17.11457030572802,216.14735973717112
4.56,0.019,ANN (n_s=131),151,20,131,136,116,32.303210841483406,17.035204645083283,189.62619771525192
4.56,0.019,ANN (n_s=131),151,20,131,137,117,29.110396522709802,17.9197516359933,162.44866064013505
4.56,0.019,ANN (n_s=131),151,20,131,138,118,30.555152821899085,16.235626633855883,188.19817375070042
4.56,0.019,ANN (n_s=131),151,20,131,139,119,25.734503552868173,17.22903728809098,149.36704310609582
4.56,0.019,ANN (n_s=131),151,20,131,140,120,26.728511338920633,15.824668453549034,168.90408426172223
4.56,0.019,ANN (n_s=131),151,20,131,141,121,40.22226878388185,16.948029538207624,237.3271104655842
4.56,0.019,ANN (n_s=131),151,20,131,142,122,36.187360087504935,15.42511828795791,234.60021123958384
4.56,0.019,ANN (n_s=131),151,20,131,143,123,23.573724695912304,15.901846545412461,148.2452030246331
4.56,0.019,ANN (n_s=131),151,20,131,144,124,35.10976415514713,17.613641478811267,199.33279667003114
4.56,0.019,ANN (n_s=131),151,20,131,145,125,31.94363981603007,16.328543305556316,195.63067701918158
4.56,0.019,ANN (n_s=131),151,20,131,146,126,31.527914236855686,18.108926955065954,174.10150427513753
4.56,0.019,ANN (n_s=131),151,20,131,147,127,24.07754810316608,17.38036016948162,138.5330791098572
4.56,0.019,ANN (n_s=131),151,20,131,148,128,35.62325124987686,23.710264835378347,150.24400400928045
4.56,0.019,ANN (n_s=131),151,20,131,149,129,32.41110989571507,14.51822323832296,223.24432792961358
4.56,0.019,ANN (n_s=131),151,20,131,150,130,26.936530829571407,16.575135688990034,162.5116761334502
4.56,0.019,ANN (n_s=131),151,20,131,151,131,30.11951243519254,20.232553259908276,148.86659161736014
4.56,0.019,GPR (n_s=131),151,20,131,21,1,286.78758323240186,285.15477504054377,100.57260419069817
4.56,0.019,GPR (n_s=131),151,20,131,22,2,261.1766174965172,261.07002235009236,100.04083009817263
4.56,0.019,GPR (n_s=131),151,20,131,23,3,250.03955327418674,248.7434360698395,100.5210658921602
4.56,0.019,GPR (n_s=131),151,20,131,24,4,232.09970230008605,232.03534030870765,100.02773801236174
4.56,0.019,GPR (n_s=131),151,20,131,25,5,217.9531765976668,217.23156713702488,100.33218443808711
4.56,0.019,GPR (n_s=131),151,20,131,26,6,206.61856765962162,206.57590628041444,100.02065167229583
4.56,0.019,GPR (n_s=131),151,20,131,27,7,192.11673954429295,191.8455867395503,100.14133908908249
4.56,0.019,GPR (n_s=131),151,20,131,28,8,183.54448567647998,183.51579708141912,100.0156327659619
4.56,0.019,GPR (n_s=131),151,20,131,29,9,167.92846769250718,167.8838396102995,100.02658271475758
4.56,0.019,GPR (n_s=131),151,20,131,30,10,154.75202836280562,154.7634027050166,99.99265049616888
4.56,0.019,GPR (n_s=131),151,20,131,31,11,146.0613545161105,146.08320317664348,99.9850436873933
