mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.56,0.019,ANN (n_s=141),151,10,141,109,99,10.184414158980475,21.741589152495667,46.843007139666376
4.56,0.019,ANN (n_s=141),151,10,141,110,100,11.627029247117042,24.253844611081668,47.938912092331165
4.56,0.019,ANN (n_s=141),151,10,141,111,101,11.517577550768621,27.905179589247386,41.27397752067022
4.56,0.019,ANN (n_s=141),151,10,141,112,102,10.408328562214722,23.33779491032172,44.59859469247191
4.56,0.019,ANN (n_s=141),151,10,141,113,103,8.967690239785169,23.73418426398097,37.783856988902485
4.56,0.019,ANN (n_s=141),151,10,141,114,104,6.469671178805139,20.160269186301157,32.09119441322372
4.56,0.019,ANN (n_s=141),151,10,141,115,105,11.811402347348922,22.305282781307806,52.95338536235493
4.56,0.019,ANN (n_s=141),151,10,141,116,106,13.9136570196704,25.443310360427954,54.68493219856464
4.56,0.019,ANN (n_s=141),151,10,141,117,107,12.034043406276997,21.68879617974885,55.485068449826464
4.56,0.019,ANN (n_s=141),151,10,141,118,108,8.23364965495812,21.155517058638157,38.91963326699302
4.56,0.019,ANN (n_s=141),151,10,141,119,109,11.240959688443251,19.279051296957512,58.30660189289098
4.56,0.019,ANN (n_s=141),151,10,141,120,110,10.320813304119817,21.559895638698613,47.870423294603654
4.56,0.019,ANN (n_s=141),151,10,141,121,111,10.561025586638484,21.383069251224597,49.38966180467128
4.56,0.019,ANN (n_s=141),151,10,141,122,112,11.496381716082833,21.37762836234466,53.77762921696676
4.56,0.019,ANN (n_s=141),151,10,141,123,113,8.656758821319746,15.722715118468155,55.058930700533885
4.56,0.019,ANN (n_s=141),151,10,141,124,114,11.495502991356528,18.69280617185489,61.49693569639056
4.56,0.019,ANN (n_s=141),151,10,141,125,115,9.527840785516965,21.903760762898887,43.498652531192036
4.56,0.019,ANN (n_s=141),151,10,141,126,116,10.10107634228136,18.909949214485394,53.41672908642048
4.56,0.019,ANN (n_s=141),151,10,141,127,117,8.034183922264702,17.615384112532222,45.60890566416257
4.56,0.019,ANN (n_s=141),151,10,141,128,118,10.531587207237092,19.60508863150677,53.718641140505135
4.56,0.019,ANN (n_s=141),151,10,141,129,119,10.342030241784737,17.859552316526198,57.90755590337402
4.56,0.019,ANN (n_s=141),151,10,141,130,120,10.039268367772895,19.466229585289682,51.572742034027016
4.56,0.019,ANN (n_s=141),151,10,141,131,121,10.593842680667555,17.57946171176351,60.26261130384076
4.56,0.019,ANN (n_s=141),151,10,141,132,122,8.077357801835527,15.257611947355771,52.939856051558436
4.56,0.019,ANN (n_s=141),151,10,141,133,123,11.640337085306166,16.75457928903099,69.47555581372877
4.56,0.019,ANN (n_s=141),151,10,141,134,124,9.676443667910963,16.78426546334784,57.651874543104796
4.56,0.019,ANN (n_s=141),151,10,141,135,125,9.527230177783428,17.11457030572802,55.66736416744738
4.56,0.019,ANN (n_s=141),151,10,141,136,126,11.13554790525222,17.035204645083283,65.36785519900504
4.56,0.019,ANN (n_s=141),151,10,141,137,127,9.603630995872313,17.9197516359933,53.592433594797306
4.56,0.019,ANN (n_s=141),151,10,141,138,128,10.96636871917233,16.235626633855883,67.54509059911703
4.56,0.019,ANN (n_s=141),151,10,141,139,129,14.187750389300362,17.22903728809098,82.34789995554303
4.56,0.019,ANN (n_s=141),151,10,141,140,130,9.811637517947506,15.824668453549034,62.00216798695096
