mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.56,0.019,ANN ns151,151,0,151,62,62,30.359293631179927,64.90745376226248,46.773200721102654
4.56,0.019,ANN ns151,151,0,151,63,63,15.039055103954174,60.38031151006408,24.90721681925654
4.56,0.019,ANN ns151,151,0,151,64,64,26.83051074728937,57.14428335568313,46.952221940186455
4.56,0.019,ANN ns151,151,0,151,65,65,22.776486454235567,58.59187001623926,38.873117461386464
4.56,0.019,ANN ns151,151,0,151,66,66,33.31178911360418,57.08094315847006,58.35886246855251
4.56,0.019,ANN ns151,151,0,151,67,67,23.43280219699918,55.047099435236674,42.56864110445647
4.56,0.019,ANN ns151,151,0,151,68,68,36.04978249478533,52.47381616463028,68.70051604724817
4.56,0.019,ANN ns151,151,0,151,69,69,19.53372527174752,53.064898970320606,36.8110100099744
4.56,0.019,ANN ns151,151,0,151,70,70,27.211910882775623,52.36574125290374,51.9651020527981
4.56,0.019,ANN ns151,151,0,151,71,71,34.72872478709892,51.25996309204636,67.7501946787151
4.56,0.019,ANN ns151,151,0,151,72,72,23.885261368472516,49.3101238564563,48.43885900186227
4.56,0.019,ANN ns151,151,0,151,73,73,28.556031529988385,49.85744987335465,57.275355242847276
4.56,0.019,ANN ns151,151,0,151,74,74,15.003357808686616,47.61811445363352,31.50766883744549
4.56,0.019,ANN ns151,151,0,151,75,75,21.53326368002513,48.937388024041475,44.00166120318167
4.56,0.019,ANN ns151,151,0,151,76,76,17.49632162317634,53.08534496928324,32.9588545262355
4.56,0.019,ANN ns151,151,0,151,77,77,25.854532232160814,46.45745188454769,55.65206696314816
4.56,0.019,ANN ns151,151,0,151,78,78,23.525538403324116,44.86899341820426,52.4316161587421
4.56,0.019,ANN ns151,151,0,151,79,79,15.523073064054671,38.11450528648976,40.72746831521135
4.56,0.019,ANN ns151,151,0,151,80,80,21.227630744909465,43.71260427504372,48.56180750829501
4.56,0.019,ANN ns151,151,0,151,81,81,26.458737702878913,42.30656740299899,62.54049743823775
4.56,0.019,ANN ns151,151,0,151,82,82,18.894212247353767,44.12734085716196,42.817472977837944
4.56,0.019,ANN ns151,151,0,151,83,83,38.09645830565677,40.60859982988302,93.81376965778166
4.56,0.019,ANN ns151,151,0,151,84,84,22.34155799692927,42.919189439208886,52.05493926807274
4.56,0.019,ANN ns151,151,0,151,85,85,27.03331619981225,38.38730811000494,70.42253685083618
4.56,0.019,ANN ns151,151,0,151,86,86,27.38317251005344,40.95189260220432,66.86668373558757
4.56,0.019,ANN ns151,151,0,151,87,87,21.142885643003304,36.38449251974828,58.10960708474265
4.56,0.019,ANN ns151,151,0,151,88,88,24.51580776469247,36.091072681941604,67.92762293529478
4.56,0.019,ANN ns151,151,0,151,89,89,17.268749887906704,35.060728483570244,49.25382510519993
4.56,0.019,ANN ns151,151,0,151,90,90,16.275418644557465,33.69457160661348,48.30279142460731
4.56,0.019,ANN ns151,151,0,151,91,91,25.055308042096026,35.95122068644328,69.69250991676076
4.56,0.019,ANN ns151,151,0,151,92,92,20.435391652712287,35.381411332147955,57.757423695940744
4.56,0.019,ANN ns151,151,0,151,93,93,21.398773301604052,33.01805358305483,64.80931181414672
4.56,0.019,ANN ns151,151,0,151,94,94,27.48282535667658,34.772571776805336,79.03592962027818
4.56,0.019,ANN ns151,151,0,151,95,95,22.94684923055946,31.435906399745146,72.99566597114404
4.56,0.019,ANN ns151,151,0,151,96,96,16.060826946359562,31.33279306754335,51.2588421713239
4.56,0.019,ANN ns151,151,0,151,97,97,16.85501410550665,27.849895084166995,60.5209249606435
4.56,0.019,ANN ns151,151,0,151,98,98,20.299947524717826,29.92972158716103,67.82538041859335
4.56,0.019,ANN ns151,151,0,151,99,99,21.257584530842514,30.1478135489837,70.51119808839046
4.56,0.019,ANN ns151,151,0,151,100,100,16.41985795357506,31.354532392893162,52.36837133408118
4.56,0.019,ANN ns151,151,0,151,101,101,19.857157755306137,28.62045780564059,69.38099275055146
4.56,0.019,ANN ns151,151,0,151,102,102,20.149785932696627,31.566989205861393,63.83182698005039
4.56,0.019,ANN ns151,151,0,151,103,103,14.058644259430999,21.8865575711995,64.23415017960959
4.56,0.019,ANN ns151,151,0,151,104,104,16.832745401248335,26.850312991560486,62.691058411643674
4.56,0.019,ANN ns151,151,0,151,105,105,20.64354891052423,30.590366094950664,67.48382430745644
4.56,0.019,ANN ns151,151,0,151,106,106,20.564259585130305,26.069442821531823,78.88262026124102
4.56,0.019,ANN ns151,151,0,151,107,107,15.845637233889867,27.767327930083976,57.065761868725644
4.56,0.019,ANN ns151,151,0,151,108,108,15.466285057117384,24.541593105325816,63.02070526041366
4.56,0.019,ANN ns151,151,0,151,109,109,24.76060362203985,21.741589152495667,113.88589605096846
4.56,0.019,ANN ns151,151,0,151,110,110,19.57573160949297,24.253844611081668,80.7118703174537
4.56,0.019,ANN ns151,151,0,151,111,111,19.489199301068236,27.905179589247386,69.84079510664732
4.56,0.019,ANN ns151,151,0,151,112,112,16.479104070128123,23.33779491032172,70.61123012457287
4.56,0.019,ANN ns151,151,0,151,113,113,16.657519745545546,23.73418426398097,70.18366235078499
4.56,0.019,ANN ns151,151,0,151,114,114,22.27742713332467,20.160269186301157,110.50163530783665
4.56,0.019,ANN ns151,151,0,151,115,115,19.57788321823564,22.305282781307806,87.77240535431467
4.56,0.019,ANN ns151,151,0,151,116,116,16.93025445356182,25.443310360427954,66.54108374157747
4.56,0.019,ANN ns151,151,0,151,117,117,17.20420052719669,21.68879617974885,79.32298493938778
4.56,0.019,ANN ns151,151,0,151,118,118,20.72042526107836,21.155517058638157,97.94336486149773
4.56,0.019,ANN ns151,151,0,151,119,119,16.308883242971884,19.279051296957512,84.59380594908028
4.56,0.019,ANN ns151,151,0,151,120,120,17.33141434417473,21.559895638698613,80.38728310477516
4.56,0.019,ANN ns151,151,0,151,121,121,16.0184964648076,21.383069251224597,74.91205437633903
