point,mu1,mu2,n_primary,n_tot,requested_secondary_error_percent,actual_secondary_error_percent,ann_secondary_error_percent,state_error_percent_vs_hdm,state_error_percent_vs_linear_prom,primary_q_error_percent_vs_linear_prom,total_q_error_percent_vs_linear_prom,n_time_used,online_solve_elapsed_s,num_iterations,jac_time_s,res_time_s,ls_time_s
offgrid1,4.56,0.019,10,151,75.0,74.99999999999997,14.522856759920916,8.040784786949214,8.069824378855364,9.58180659226427,18.577968352377617,501,72.7277467250824,1499,28.97249746322632,3.7681171894073486,28.50869584083557
offgrid2,5.19,0.026,10,151,0.0,0.0,16.425216130723648,0.46321790470568575,0.00044594755174719316,0.0010367874050995248,0.001015061465976889,501,71.89747285842896,1500,28.681117296218872,3.7381041049957275,27.927058458328247
offgrid2,5.19,0.026,10,151,100.0,99.99999999999999,16.425216130723648,11.420855863962629,11.468141559477472,16.680233096039128,26.103671917887628,501,62.34760522842407,1451,25.970250844955444,3.5361745357513428,25.478888511657715
offgrid2,5.19,0.026,10,151,10.0,10.0,16.425216130723648,0.9832991182430768,0.9156670507019391,0.4532601612529099,2.0842324062341144,501,74.4205391407013,1500,29.33588171005249,3.768352746963501,28.921666145324707
offgrid2,5.19,0.026,10,151,15.0,15.0,16.425216130723648,1.3960303315454594,1.3667789230995997,0.6022385063794328,3.1110488484850367,501,75.91067743301392,1500,29.262829542160034,3.833489418029785,29.215964794158936
offgrid2,5.19,0.026,10,151,16.425216130724,16.425216130724,16.425216130723648,1.5176569491497802,1.4955253264793829,0.6456137280142745,3.404100155621756,501,75.65082550048828,1500,29.646658897399902,3.82161545753479,29.33531665802002
offgrid2,5.19,0.026,10,151,1.0,1.0,16.425216130723648,0.46385429438981,0.09308644924377897,0.059760231778042766,0.211882467482501,501,70.6419517993927,1500,28.157851457595825,3.7418665885925293,27.82218289375305
offgrid2,5.19,0.026,10,151,20.0,20.0,16.425216130723648,1.8282264639078756,1.8199580032702853,0.772826490685819,4.142570648898241,501,75.49718236923218,1500,29.465410470962524,3.8530056476593018,29.991626262664795
offgrid2,5.19,0.026,10,151,30.0,30.0,16.425216130723648,2.7373941316260293,2.7519813747522437,1.4131633493675115,6.264033152895888,501,67.08734321594238,1499,27.911893844604492,3.6724376678466797,27.37970280647278
offgrid2,5.19,0.026,10,151,3.0,2.9999999999999996,16.425216130723648,0.5170518345161192,0.2781236715481149,0.16946987824676535,0.6330623874005561,501,70.63988041877747,1500,27.899376153945923,3.732023000717163,27.720859050750732
offgrid2,5.19,0.026,10,151,50.0,49.99999999999999,16.425216130723648,4.791058937616309,4.825699215320163,4.2083015669820725,10.984209467402575,501,72.40188336372375,1498,29.197122812271118,3.934011459350586,29.100239753723145
offgrid2,5.19,0.026,10,151,5.0,5.0,16.425216130723648,0.6213803384607719,0.4616361811132017,0.26506618674142185,1.0507717710588365,501,71.6571626663208,1500,28.17945671081543,3.729556083679199,28.138482332229614
offgrid2,5.19,0.026,10,151,75.0,75.0,16.425216130723648,7.886577529908369,7.930541450252808,9.827761842972036,18.051421067219593,501,63.738322257995605,1467,26.350480556488037,3.659780263900757,26.28978395462036
verification,4.875,0.0225,10,151,0.0,0.0,10.918374531770962,0.41037282495625055,0.00033336580555575477,0.000793869249845289,0.0007762153504832241,501,78.84344935417175,1500,29.962966203689575,3.7897002696990967,30.237785577774048
verification,4.875,0.0225,10,151,100.0,99.99999999999999,10.918374531770962,12.410466738493833,12.456060730930226,20.489598953899137,29.00293126879257,501,71.82998180389404,1442,26.823370933532715,3.585594415664673,27.54562544822693
verification,4.875,0.0225,10,151,10.0,10.000000000000002,10.918374531770962,1.0586576091051967,1.0186413933360596,1.1330981210707625,2.371824203225963,501,74.20816898345947,1500,28.93327236175537,3.812028408050537,29.474202871322632
verification,4.875,0.0225,10,151,10.918374531771,10.918374531770999,10.918374531770962,1.1413889731759697,1.108141637538037,1.2163788032299523,2.5802182924330306,501,74.48360967636108,1500,28.628172397613525,3.8142476081848145,29.032490491867065
verification,4.875,0.0225,10,151,15.0,15.0,10.918374531770962,1.5107225297052174,1.4985547582631578,1.5440452786042613,3.4892637082689117,501,75.33300161361694,1500,28.603796005249023,3.745204210281372,29.261232614517212
verification,4.875,0.0225,10,151,1.0,1.0,10.918374531770962,0.4140371226929294,0.10550723791363122,0.130856300183014,0.24566508109347213,501,73.52167844772339,1500,28.134243488311768,3.649163246154785,28.990781784057617
verification,4.875,0.0225,10,151,20.0,20.000000000000004,10.918374531770962,1.9595393564084025,1.9628032874168102,1.8563757243956864,4.57022890854663,501,84.83020877838135,1500,31.77950406074524,4.0032799243927,31.728776931762695
verification,4.875,0.0225,10,151,30.0,30.0,10.918374531770962,2.8455527932860445,2.8667469911457086,2.280630347054292,6.674988806273081,501,93.32191848754883,1499,33.35737705230713,4.0532448291778564,37.384658336639404
verification,4.875,0.0225,10,151,3.0,2.999999999999999,10.918374531770962,0.49252865638272236,0.3142811790720159,0.38222425950798194,0.7317783392839995,501,82.37870597839355,1500,30.95354127883911,3.9040141105651855,32.34665250778198
verification,4.875,0.0225,10,151,50.0,49.99999999999999,10.918374531770962,4.7722766591541035,4.811513394386758,4.03426412953529,11.20322028695281,501,79.29652190208435,1497,29.959945678710938,3.904524326324463,30.768532276153564
verification,4.875,0.0225,10,151,5.0,5.000000000000001,10.918374531770962,0.6300865220582385,0.5196587171911983,0.6174975301477496,1.2099833473435286,501,77.99255776405334,1500,29.513006448745728,3.827979803085327,30.37599778175354
verification,4.875,0.0225,10,151,75.0,74.99999999999999,10.918374531770962,8.075903152161148,8.122164942802796,10.739434551050424,18.91180499826556,501,74.12452054023743,1481,28.232584953308105,3.730088472366333,28.327417850494385
