point,mu1,mu2,n_primary,n_tot,requested_secondary_error_percent,actual_secondary_error_percent,ann_secondary_error_percent,state_error_percent_vs_hdm,state_error_percent_vs_linear_hprom,primary_q_error_percent_vs_linear_hprom,total_q_error_percent_vs_linear_hprom,n_time_used,online_solve_elapsed_s,num_iterations,jac_time_s,res_time_s,ls_time_s
offgrid1,4.56,0.019,10,151,0.0,0.0,14.695181662837022,0.5644692352258446,0.35241293532969414,0.8312651609635555,0.8115808750608494,501,3.1298506259918213,1500,1.0946412086486816,0.3332648277282715,0.21995759010314941
offgrid1,4.56,0.019,10,151,10.0,10.000000000000002,14.695181662837022,3.167787514800914,3.156577060031719,7.12622399938148,7.286039794926539,501,3.145888090133667,1500,1.0906729698181152,0.3314650058746338,0.21714377403259277
offgrid1,4.56,0.019,10,151,14.695181662837,14.695181662836996,14.695181662837022,4.515737861792182,4.513669441310219,10.163686816729108,10.419805438835388,501,3.0805296897888184,1500,1.0933043956756592,0.3336513042449951,0.21822285652160645
offgrid1,4.56,0.019,10,151,15.0,15.000000000000002,14.695181662837022,4.603627581160439,4.601951847362648,10.361303131922336,10.623662553405195,501,3.1493113040924072,1500,1.0913071632385254,0.3321352005004883,0.21803951263427734
offgrid1,4.56,0.019,10,151,1.0,1.0,14.695181662837022,0.7365375347535588,0.6008980645928361,1.4008464013718769,1.3846777870710263,501,3.1689183712005615,1500,1.1046864986419678,0.33978796005249023,0.2223830223083496
offgrid1,4.56,0.019,10,151,20.0,20.000000000000004,14.695181662837022,6.047020382993657,6.049928020511148,13.602320893953824,13.967242194773336,501,3.073615789413452,1500,1.093216896057129,0.33136582374572754,0.2173752784729004
offgrid1,4.56,0.019,10,151,30.0,30.000000000000004,14.695181662837022,8.931803689390886,8.938515031495747,20.065504019627078,20.63737319915844,501,3.1273558139801025,1500,1.0941476821899414,0.33207201957702637,0.21825671195983887
offgrid1,4.56,0.019,10,151,3.0,2.999999999999999,14.695181662837022,1.2184536027204915,1.1527556101952543,2.6409160311016446,2.6588027300792625,501,3.1297359466552734,1500,1.0890576839447021,0.3327498435974121,0.22101211547851562
offgrid1,4.56,0.019,10,151,50.0,49.99999999999999,14.695181662837022,14.58510274778867,14.592394545479703,32.68445566166772,33.693873726106034,501,3.127488851547241,1497,1.0876219272613525,0.33103346824645996,0.21920275688171387
offgrid1,4.56,0.019,10,151,5.0,5.000000000000001,14.695181662837022,1.7580249721410264,1.7204405350479686,3.912121910938137,3.9696887943584414,501,3.073673725128174,1500,1.1007177829742432,0.33525705337524414,0.2191014289855957
offgrid2,5.19,0.026,10,151,0.0,0.0,21.73981178090827,0.47524373362364564,0.10263315990920822,0.23905274527082715,0.23392006788256572,501,3.158292293548584,1500,1.0992119312286377,0.33469390869140625,0.22046828269958496
offgrid2,5.19,0.026,10,151,10.0,10.000000000000002,21.73981178090827,1.4113875465057708,1.3195564193791853,2.2706150836880266,3.030636036981749,501,3.104799509048462,1500,1.1017115116119385,0.33557701110839844,0.22086071968078613
offgrid2,5.19,0.026,10,151,15.0,15.000000000000002,21.73981178090827,2.045111164069033,1.9792302056385258,3.405618852325453,4.545736135149335,501,3.156134605407715,1500,1.0927174091339111,0.33518433570861816,0.22385787963867188
offgrid2,5.19,0.026,10,151,1.0,0.9999999999999999,21.73981178090827,0.48508931039379166,0.1266637923433235,0.21013046232625518,0.2911354982833572,501,3.1483066082000732,1500,1.0898206233978271,0.3314826488494873,0.21643328666687012
offgrid2,5.19,0.026,10,151,20.0,20.000000000000004,21.73981178090827,2.677119588672723,2.6248433029738263,4.496228930698411,6.029062872887832,501,3.0675082206726074,1500,1.089094638824463,0.32957887649536133,0.21814250946044922
