mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.875,0.0225,GPR (n_s=141),151,10,141,25,15,0.00015671423188265809,232.74443769607404,6.733318030452831e-05
4.875,0.0225,GPR (n_s=141),151,10,141,26,16,0.00015790332961958565,221.2122928206632,7.138090185051238e-05
4.875,0.0225,GPR (n_s=141),151,10,141,27,17,0.00015590801053280798,208.44153058927608,7.479699947128921e-05
4.875,0.0225,GPR (n_s=141),151,10,141,28,18,0.00015336011756298076,195.74013481212296,7.834883618026534e-05
4.875,0.0225,GPR (n_s=141),151,10,141,29,19,0.0001471522700631992,180.76913376419415,8.140342712221725e-05
4.875,0.0225,GPR (n_s=141),151,10,141,30,20,0.00013021278625237264,157.27692411326953,8.279204783951298e-05
4.875,0.0225,GPR (n_s=141),151,10,141,31,21,0.0001251101777907831,151.44241407185515,8.261237682821264e-05
4.875,0.0225,GPR (n_s=141),151,10,141,32,22,0.00013886400510667492,164.99003416318777,8.416508658294343e-05
4.875,0.0225,GPR (n_s=141),151,10,141,33,23,0.00013392529824660178,154.355441125711,8.6764222414116e-05
4.875,0.0225,GPR (n_s=141),151,10,141,34,24,0.00011668457279300607,134.25995187496142,8.690944035320108e-05
4.875,0.0225,GPR (n_s=141),151,10,141,35,25,0.00010782960603859112,122.01657502223894,8.837291656394874e-05
4.875,0.0225,GPR (n_s=141),151,10,141,36,26,9.809514918974132e-05,126.2467227487928,7.77011450704603e-05
4.875,0.0225,GPR (n_s=141),151,10,141,37,27,0.00010903924189921788,127.55772567513564,8.548227190638325e-05
4.875,0.0225,GPR (n_s=141),151,10,141,38,28,0.000120954651764273,130.06878483250725,9.299283599829833e-05
4.875,0.0225,GPR (n_s=141),151,10,141,39,29,0.00012133975481604135,122.90689618395554,9.872493617805738e-05
4.875,0.0225,GPR (n_s=141),151,10,141,40,30,0.00010401444743638461,105.44298400562161,9.864520472110231e-05
4.875,0.0225,GPR (n_s=141),151,10,141,41,31,0.00011532030368093767,117.42448967774298,9.820805182753616e-05
