basis,basis_path,mu1,mu2,step,time,coordinate_sigma_max,coordinate_fro,mass_state_gain,hll_rank,hll_condition,hll_min_kept_eigenvalue,hll_max_eigenvalue,cancellation_relative_residual,coordinate_sigma_1,coordinate_sigma_2,coordinate_sigma_3,coordinate_sigma_4,coordinate_sigma_5,coordinate_sigma_6,coordinate_sigma_7,coordinate_sigma_8,coordinate_sigma_9,coordinate_sigma_10
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,21,1.05,0.015996690578797452,0.0167032144572758,0.016956608476564376,10,1.011536457109893,0.9895897179027017,1.0010060772396774,0.9999989678548507,0.015996690578797452,0.0040092037885960325,0.001986564420032587,0.0010751126031230164,0.0007731261643652029,0.0006729357740327779,0.0005886945184135814,0.000496108515152539,0.0003950055907576172,0.0003577184305959474
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,22,1.1,0.0324954625718875,0.0337974270978915,0.032495462571887485,10,1.009017247647277,0.9939285123415045,1.0028910118809773,0.9999961143868822,0.0324954625718875,0.0069973569476873086,0.0037005699733733896,0.0033036764196530824,0.002403632395556206,0.001958350850389362,0.0013600250601478526,0.0009233782014392662,0.0005018896065320076,0.0004155899649180638
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,22,1.1,0.01629034115639016,0.016984886295700524,0.017248585869310964,10,1.0117733488547647,0.9893580272775498,1.0010060844749502,0.999998933266864,0.01629034115639016,0.0040000226959265636,0.001999377230699342,0.0010843429382627588,0.0007793432184043241,0.0006725676183914749,0.0005880026086855929,0.0004963462848827793,0.00039532893149329197,0.00035991982464734867
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,23,1.1500000000000001,0.0326380331715233,0.03397122233604399,0.03263803317152328,10,1.0093017481407183,0.9936715255622663,1.0029144078276497,0.9999960760584486,0.0326380331715233,0.007162855422024509,0.003702114163006429,0.0033071579502117593,0.002411557743828262,0.001963577299139182,0.0013739842524233764,0.0009311035607175574,0.0005030451177253967,0.00041738399634220434
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,23,1.1500000000000001,0.016589139712033903,0.01727260999786834,0.01754646740190584,10,1.0120002365630005,0.9891362142468835,1.0010060828108769,0.9999988973405992,0.016589139712033903,0.003991544438796638,0.0020158675334833085,0.0010948697816515723,0.0007857085186597077,0.0006722852329896066,0.0005873084384969708,0.0004965990484585786,0.0003957712693427337,0.00036211734227963147
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,24,1.2000000000000002,0.03289181381085104,0.03425012863830335,0.032891813810851024,10,1.0095748570813505,0.9934258597989483,1.002937770427441,0.9999960131157216,0.03289181381085104,0.0073171060852918884,0.003704186190559231,0.003310871817305616,0.002420563191549154,0.0019691368427424906,0.0013887584418113255,0.0009390454723352193,0.000504230133067384,0.00041911392082050766
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,24,1.2000000000000002,0.01688295982886126,0.01755628190248701,0.01783908721773375,10,1.0122156920173713,0.9889256575641759,1.0010060688250564,0.9999988613471689,0.01688295982886126,0.003982651653048162,0.002035780365877714,0.001106522578594998,0.0007914965905888809,0.0006719096185096584,0.0005866078297280647,0.0004966289211932765,0.00039631066597931025,0.0003642155797000473
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,25,1.25,0.03321792726691642,0.03459694099077664,0.033217927266916414,10,1.0098357765365897,0.9931922872153022,1.0029611046102163,0.9999959337265425,0.03321792726691642,0.007462157368195212,0.0037065233135416997,0.0033147368585658534,0.0024303233514631024,0.0019750117952328575,0.0014039488856250337,0.0009472758576504524,0.0005053970957563162,0.0004207998024582479
LSPG-sensitive POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/lspg_sensitive/Stage1/basis.npy,4.56,0.019,25,1.25,0.01716839901116914,0.01783216181094245,0.018123941565874328,10,1.0124185320113566,0.988727494846277,1.0010060388915338,0.9999988258024635,0.01716839901116914,0.003972273107659532,0.0020579662427231806,0.001119078456994171,0.0007960598583245388,0.0006713245363435824,0.0005858962016313575,0.000496292774775828,0.0003969335769712883,0.0003661009163448077
Euclidean POD,/scratch/users/sadpr/Code12May/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy,4.56,0.019,26,1.3,0.03354826271154719,0.03494599051853429,0.03354826271154717,10,1.0100837183977571,0.9929715729274093,1.0029844186457872,0.9999958530006643,0.03354826271154719,0.00759748152995792,0.003708935581747954,0.0033186828719922413,0.002440602289216104,0.0019812162103167398,0.001419258866473107,0.0009558525789432655,0.0005065036630548197,0.0004224743263994977
